model_type,phase,n_epochs,first_epoch,last_epoch,peak_val_macro_f1_raw,peak_val_macro_f1_raw_epoch,peak_val_macro_f1_rolling,peak_val_macro_f1_rolling_epoch,first_timestamp,last_timestamp
efficientnet_b0_2d,dapt,28,1,28,0.7136505647680845,16,0.6842948613662667,18,2026-04-29T07:48:09,2026-04-29T07:53:25
efficientnet_b0_2d,finetune,18,1,18,0.27322464164569427,16,0.2697191697191697,8,2026-04-29T07:53:39,2026-04-29T07:55:52
resnet50_2d,dapt,30,1,30,0.7323535415390895,6,0.7166666666666667,25,2026-04-29T07:56:17,2026-04-29T08:03:40
resnet50_2d,finetune,14,1,14,0.4404040404040404,4,0.4259260864377661,4,2026-04-29T08:04:20,2026-04-29T08:06:15
resnet50_2d_rin,dapt,30,1,30,0.7089403350272915,18,0.6882381613839413,20,2026-04-29T08:28:40,2026-04-29T08:35:39
resnet50_2d_rin,finetune,18,1,18,0.4228896103896104,6,0.41860134489166745,8,2026-04-29T08:35:52,2026-04-29T08:38:23
densenet121_2d,dapt,25,1,25,0.7931697931697932,15,0.6982611456295666,15,2026-04-29T08:07:02,2026-04-29T08:12:38
densenet121_2d,finetune,22,1,22,0.4563566701497736,10,0.4404475548491776,12,2026-04-29T08:12:53,2026-04-29T08:15:49
densenet121_2d_rin,dapt,30,1,30,0.5339152435167616,23,0.5168382379686701,25,2026-04-29T08:39:06,2026-04-29T08:47:10
densenet121_2d_rin,finetune,19,1,19,0.44086021505376344,9,0.4236559139784946,9,2026-04-29T08:47:25,2026-04-29T08:50:23
swin_tiny_2d,dapt,17,1,17,0.7179689786362307,6,0.6813011309353131,7,2026-04-29T08:16:35,2026-04-29T08:21:38
swin_tiny_2d,finetune,35,1,35,0.43512361466325666,25,0.43426679411334135,25,2026-04-29T08:21:52,2026-04-29T08:27:56
